Ideology_1,Ideology_2,Ideology_3,Ideology_4,Ideology_5,Ideology_6,Ideology_7
Homosexuality – justifiable? (Oppose),Immigrants foreign workers as neighbors (Support),Confidence in Parliament (Oppose),Confidence in Civil Services (Support),Avoiding a fare on public transport – justifiable? (Support),Euthanasia – justifiable? (Support),Confidence in the Police (Oppose)
Prostitution – justifiable? (Oppose),Different race as neighbors (Support),Confidence in Civil Services (Oppose),Confidence in Parliament (Support),Justifiable: Claiming government benefits to which you are not entitled (Support),Divorce – justifiable? (Support),Confidence in Armed Forces (Oppose)
Abortion – justifiable? (Oppose),People with AIDS as neighbors (Support),Confidence in the Church (Support),Confidence in Labour Unions (Support),Suicide – justifiable? (Support),Justifiable: Claiming government benefits to which you are not entitled (Oppose),Confidence in Justice System (Oppose)
Avoiding a fare on public transport – justifiable? (Oppose),Homosexuals as neighbors (Support),Confidence in Armed Forces (Support),Confidence in Justice System (Support),Cheating on taxes – justifiable? (Support),Someone accepting a bribe – justifiable? (Oppose),Confidence in the Press (Oppose)
Suicide – justifiable? (Oppose),Preference for native workers in job scarcity (Support),Confidence in Labour Unions (Oppose),Confidence in Major Companies (Support),Euthanasia – justifiable? (Support),Different race as neighbors (Oppose),Confidence in Parliament (Oppose)
Someone accepting a bribe – justifiable? (Oppose),Justifiable: Claiming government benefits to which you are not entitled (Support),National pride (Support),Confidence in the Police (Support),Divorce – justifiable? (Support),Cheating on taxes – justifiable? (Oppose),Confidence in Civil Services (Oppose)
Cheating on taxes – justifiable? (Oppose),Homosexuality – justifiable? (Oppose),Suicide – justifiable? (Oppose),Confidence in the Press (Support),Someone accepting a bribe – justifiable? (Support),Avoiding a fare on public transport – justifiable? (Oppose),Confidence in Labour Unions (Oppose)
Drug addicts as neighbors (Support),Drug addicts as neighbors (Support),Someone accepting a bribe – justifiable? (Oppose),Confidence in Armed Forces (Support),Prostitution – justifiable? (Support),Immigrants foreign workers as neighbors (Oppose),Someone accepting a bribe – justifiable? (Oppose)
Euthanasia – justifiable? (Oppose),National pride (Support),People with AIDS as neighbors (Oppose),Confidence in the Church (Support),Drug addicts as neighbors (Support),Homosexuality – justifiable? (Support),Confidence in Major Companies (Oppose)
Justifiable: Claiming government benefits to which you are not entitled (Oppose),Prostitution – justifiable? (Oppose),Cheating on taxes – justifiable? (Oppose),Govt. responsibility vs. Individual responsibility (Oppose),Abortion – justifiable? (Support),Homosexuals as neighbors (Oppose),Suicide – justifiable? (Oppose)
