Ideology_1,Ideology_2,Ideology_3
Confidence in Armed Forces (Support),Confidence in Parliament (Oppose),Divorce – justifiable? (Support)
Prostitution – justifiable? (Oppose),Confidence in Civil Services (Oppose),Homosexuality – justifiable? (Support)
Confidence in Justice System (Support),Confidence in the Police (Oppose),Abortion – justifiable? (Support)
Suicide – justifiable? (Oppose),Confidence in Justice System (Oppose),Homosexuals as neighbors (Oppose)
Euthanasia – justifiable? (Oppose),Confidence in Labour Unions (Oppose),People with AIDS as neighbors (Oppose)
Confidence in the Police (Support),Confidence in the Press (Oppose),Different race as neighbors (Oppose)
Cheating on taxes – justifiable? (Oppose),Someone accepting a bribe – justifiable? (Oppose),Immigrants foreign workers as neighbors (Oppose)
Someone accepting a bribe – justifiable? (Oppose),Suicide – justifiable? (Oppose),National pride (Support)
National pride (Support),Euthanasia – justifiable? (Oppose),Confidence in the Police (Support)
Confidence in the Church (Support),Prostitution – justifiable? (Oppose),Drug addicts as neighbors (Support)
