Ideology_1,Ideology_2,Ideology_3,Ideology_4
Prostitution – justifiable? (Oppose),Confidence in Parliament (Oppose),Divorce – justifiable? (Support),Immigrants foreign workers as neighbors (Support)
Suicide – justifiable? (Oppose),Confidence in the Police (Oppose),Euthanasia – justifiable? (Support),People with AIDS as neighbors (Support)
Different race as neighbors (Oppose),Confidence in Civil Services (Oppose),Homosexuals as neighbors (Oppose),Homosexuals as neighbors (Support)
Homosexuality – justifiable? (Oppose),Confidence in Labour Unions (Oppose),People with AIDS as neighbors (Oppose),Different race as neighbors (Support)
Someone accepting a bribe – justifiable? (Oppose),Confidence in the Press (Oppose),Different race as neighbors (Oppose),Homosexuality – justifiable? (Oppose)
National pride (Support),Confidence in Major Companies (Oppose),Abortion – justifiable? (Support),Prostitution – justifiable? (Oppose)
Cheating on taxes – justifiable? (Oppose),Someone accepting a bribe – justifiable? (Oppose),Immigrants foreign workers as neighbors (Oppose),Drug addicts as neighbors (Support)
Abortion – justifiable? (Oppose),Suicide – justifiable? (Oppose),Homosexuality – justifiable? (Support),Suicide – justifiable? (Oppose)
Avoiding a fare on public transport – justifiable? (Oppose),Different race as neighbors (Oppose),National pride (Support),National pride (Support)
Justifiable: Claiming government benefits to which you are not entitled (Oppose),Cheating on taxes – justifiable? (Oppose),Someone accepting a bribe – justifiable? (Oppose),Preference for native workers in job scarcity (Support)
