Ideology_1,Ideology_2,Ideology_3,Ideology_4,Ideology_5
Justifiable: Claiming government benefits to which you are not entitled (Support),Confidence in Civil Services (Support),People with AIDS as neighbors (Support),Divorce – justifiable? (Support),Confidence in Parliament (Oppose)
Avoiding a fare on public transport – justifiable? (Support),Confidence in Justice System (Support),Immigrants foreign workers as neighbors (Support),Homosexuality – justifiable? (Support),Different race as neighbors (Oppose)
Cheating on taxes – justifiable? (Support),Confidence in the Police (Support),Homosexuals as neighbors (Support),Homosexuals as neighbors (Oppose),Immigrants foreign workers as neighbors (Oppose)
Someone accepting a bribe – justifiable? (Support),Confidence in Armed Forces (Support),Homosexuality – justifiable? (Oppose),Abortion – justifiable? (Support),Confidence in the Police (Oppose)
Divorce – justifiable? (Support),Confidence in Parliament (Support),Drug addicts as neighbors (Support),People with AIDS as neighbors (Oppose),Confidence in Justice System (Oppose)
Confidence in the Church (Support),Confidence in Major Companies (Support),Prostitution – justifiable? (Oppose),Confidence in the Church (Oppose),Suicide – justifiable? (Oppose)
National pride (Support),Cheating on taxes – justifiable? (Oppose),Euthanasia – justifiable? (Oppose),Different race as neighbors (Oppose),Euthanasia – justifiable? (Oppose)
Private vs. Government ownership of business (Support),National pride (Support),Suicide – justifiable? (Oppose),Someone accepting a bribe – justifiable? (Oppose),Confidence in Labour Unions (Oppose)
Suicide – justifiable? (Support),Someone accepting a bribe – justifiable? (Oppose),Someone accepting a bribe – justifiable? (Oppose),Immigrants foreign workers as neighbors (Oppose),Prostitution – justifiable? (Oppose)
Drug addicts as neighbors (Support),Confidence in the Press (Support),Different race as neighbors (Support),Confidence in the Press (Oppose),Confidence in Civil Services (Oppose)
